,target
1231,1
1232,1
1233,1
1234,0
1235,0
1236,1
1237,0
1238,1
1239,0
1240,0
1241,1
1242,0
1243,1
1244,1
1245,0
1246,0
1247,1
1248,0
1249,0
1250,0
1251,1
1252,1
1253,1
1254,1
1255,0
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,0
1263,1
1264,1
1265,1
1266,1
1267,0
1268,0
1269,0
1270,1
1271,1
1272,1
1273,0
1274,0
1275,1
1276,1
1277,1
1278,0
1279,1
1280,1
1281,1
1282,0
1283,0
1284,1
1285,0
1286,1
1287,1
1288,1
1289,0
1290,1
1291,1
1292,0
1293,1
1294,0
1295,0
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,1
1304,0
1305,0
1306,1
1307,1
1308,1
1309,1
1310,0
1311,1
1312,0
1313,0
1314,0
1315,1
1316,0
1317,1
1318,0
1319,1
1320,1
1321,1
1322,0
1323,0
1324,1
1325,0
1326,1
1327,1
1328,0
1329,0
1330,1
1331,0
1332,0
1333,1
1334,1
1335,1
1336,1
1337,1
1338,0
1339,0
1340,1
1341,0
1342,1
1343,1
1344,1
1345,1
1346,0
1347,1
1348,1
1349,0
1350,0
1351,1
1352,1
1353,0
1354,1
1355,1
1356,1
1357,1
1358,0
1359,0
1360,0
1361,1
1362,0
1363,1
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,1
1372,1
1373,1
1374,1
1375,0
1376,0
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,0
1384,0
1385,0
1386,1
1387,0
1388,0
1389,0
1390,1
1391,0
1392,0
1393,0
1394,1
1395,1
1396,0
1397,1
1398,1
1399,0
1400,1
1401,1
1402,1
1403,0
1404,0
1405,1
1406,0
1407,0
1408,0
1409,1
1410,1
1411,0
1412,0
1413,0
1414,1
1415,0
1416,0
1417,1
1418,0
1419,1
1420,1
1421,1
1422,0
1423,1
1424,0
1425,1
1426,1
1427,0
1428,0
1429,0
1430,1
1431,0
1432,1
1433,0
1434,1
1435,0
1436,1
1437,1
1438,0
1439,0
1440,1
1441,1
1442,1
1443,1
1444,0
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,0
1453,0
1454,0
1455,1
1456,0
1457,1
1458,1
1459,0
1460,0
1461,1
1462,1
1463,0
1464,0
1465,1
1466,0
1467,1
1468,0
1469,0
1470,0
1471,1
1472,0
1473,1
1474,0
1475,0
1476,1
1477,0
1478,1
1479,0
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,0
1489,0
1490,1
1491,0
1492,1
1493,1
1494,0
1495,1
1496,0
1497,0
1498,0
1499,1
1500,0
1501,1
1502,0
1503,1
1504,1
1505,1
1506,1
1507,0
1508,0
1509,0
1510,0
1511,1
1512,1
1513,1
1514,0
1515,0
1516,0
1517,1
1518,0
1519,1
1520,0
1521,1
1522,0
1523,1
1524,1
1525,1
1526,0
1527,1
1528,1
1529,0
1530,0
1531,1
1532,1
1533,1
1534,1
1535,0
1536,0
1537,1
1538,1
1539,0
1540,1
1541,1
1542,1
1543,0
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,1
1551,1
1552,1
1553,1
1554,1
1555,0
1556,0
1557,0
1558,0
1559,1
1560,0
1561,1
1562,0
1563,0
1564,1
1565,1
1566,1
1567,0
1568,0
1569,1
1570,1
1571,0
1572,0
1573,1
1574,0
1575,1
1576,0
1577,1
1578,0
1579,0
1580,0
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,0
1588,1
1589,0
1590,1
1591,1
1592,0
1593,0
1594,1
1595,0
1596,0
1597,1
1598,1
1599,1
1600,1
1601,1
1602,0
1603,1
1604,0
1605,0
1606,0
1607,1
1608,1
1609,1
1610,1
1611,0
1612,0
1613,0
1614,1
1615,0
1616,1
1617,0
1618,0
1619,0
1620,0
1621,1
1622,1
1623,1
1624,0
1625,1
1626,1
1627,1
1628,0
1629,0
1630,1
1631,1
1632,0
1633,1
1634,1
1635,1
1636,0
1637,0
1638,0
1639,0
1640,0
1641,1
1642,0
1643,1
1644,0
1645,1
1646,0
1647,1
1648,1
1649,0
1650,0
1651,1
1652,0
1653,1
1654,1
1655,1
1656,1
1657,0
1658,0
1659,1
1660,1
1661,0
1662,1
1663,0
1664,0
1665,1
1666,0
1667,1
1668,0
1669,1
1670,0
1671,1
1672,1
1673,1
1674,0
1675,1
1676,0
1677,1
1678,0
1679,1
1680,0
1681,0
1682,1
1683,0
1684,1
1685,0
1686,0
1687,1
1688,0
1689,0
1690,0
1691,0
1692,0
1693,1
1694,1
1695,0
1696,0
1697,0
1698,1
1699,0
1700,1
1701,1
1702,1
1703,0
1704,0
1705,0
1706,1
1707,1
1708,0
1709,1
1710,0
1711,0
1712,1
1713,1
1714,0
1715,1
1716,0
1717,0
1718,0
1719,0
1720,0
1721,1
1722,0
1723,1
1724,1
1725,1
1726,0
1727,1
1728,1
1729,0
1730,0
1731,0
1732,1
1733,0
1734,1
1735,0
1736,1
1737,0
1738,1
1739,1
1740,0
1741,0
1742,1
1743,1
1744,0
1745,0
1746,0
1747,0
1748,1
1749,1
1750,1
1751,1
1752,0
1753,1
1754,0
1755,0
1756,0
1757,1
1758,1
1759,0
1760,0
1761,1
1762,0
1763,0
1764,1
1765,0
1766,1
1767,1
1768,0
1769,0
1770,1
1771,1
1772,0
1773,1
1774,0
1775,1
1776,1
1777,0
1778,0
1779,0
1780,1
1781,0
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,0
1790,1
1791,0
1792,0
1793,1
1794,0
1795,0
1796,0
1797,0
1798,0
1799,1
1800,0
1801,0
1802,1
1803,1
1804,1
1805,0
1806,1
1807,0
1808,0
1809,1
1810,1
1811,1
1812,0
1813,1
1814,0
1815,0
1816,0
1817,0
1818,0
1819,1
1820,1
1821,1
1822,0
1823,0
1824,1
1825,0
1826,1
1827,0
1828,1
1829,0
1830,0
1831,1
1832,1
1833,1
1834,1
1835,0
1836,1
1837,0
1838,0
1839,1
1840,1
1841,1
1842,0
1843,0
1844,0
1845,0
1846,0
1847,1
1848,0
1849,1
1850,1
1851,1
1852,1
1853,0
1854,0
1855,1
1856,0
1857,1
1858,0
1859,0
1860,0
1861,1
1862,1
1863,1
1864,0
1865,1
1866,0
1867,1
1868,0
1869,1
1870,1
1871,1
1872,1
1873,0
1874,1
1875,0
1876,0
1877,0
1878,0
1879,1
1880,0
1881,0
1882,1
1883,1
1884,1
1885,0
1886,0
1887,1
1888,1
1889,0
1890,0
1891,1
1892,0
1893,0
1894,0
1895,0
1896,0
1897,1
1898,0
1899,0
1900,1
1901,0
1902,1
1903,1
1904,1
1905,1
1906,0
1907,1
1908,0
1909,1
1910,1
1911,1
1912,0
1913,0
1914,1
1915,0
1916,0
1917,0
1918,0
1919,1
1920,1
1921,0
1922,0
1923,1
1924,1
1925,1
1926,1
1927,0
1928,0
1929,1
1930,0
1931,1
1932,1
1933,1
1934,0
1935,1
1936,1
1937,0
1938,0
1939,1
1940,0
1941,0
1942,0
1943,1
1944,0
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,0
1952,1
1953,0
1954,1
1955,0
1956,1
1957,0
1958,1
1959,0
1960,1
1961,0
1962,1
1963,0
1964,1
1965,1
1966,1
1967,1
1968,0
1969,0
1970,0
1971,1
1972,1
1973,1
1974,0
1975,1
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,1
1983,1
1984,0
1985,1
1986,1
1987,1
1988,0
1989,1
1990,1
1991,0
1992,0
1993,1
1994,0
1995,1
1996,1
1997,1
1998,0
1999,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,1
2006,0
2007,1
2008,0
2009,0
2010,1
2011,0
2012,0
2013,0
2014,0
2015,0
2016,1
2017,1
2018,0
2019,1
2020,1
2021,0
2022,1
2023,0
2024,0
2025,0
2026,1
2027,0
2028,0
2029,1
2030,0
2031,0
2032,0
2033,1
2034,0
2035,1
2036,1
2037,0
2038,1
2039,0
2040,1
2041,1
2042,0
2043,1
2044,0
2045,1
2046,1
2047,1
2048,1
2049,0
2050,1
2051,0
2052,0
2053,1
2054,0
2055,0
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,0
2063,0
2064,1
2065,0
2066,1
2067,1
2068,1
2069,1
2070,1
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,1
2078,1
2079,0
2080,1
2081,1
2082,1
2083,0
2084,0
2085,1
2086,1
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,1
2107,1
2108,0
2109,1
2110,0
2111,1
2112,0
2113,0
2114,0
2115,0
2116,1
2117,0
2118,1
2119,1
2120,1
2121,0
2122,0
2123,1
2124,1
2125,1
2126,1
2127,1
2128,0
2129,1
2130,1
2131,1
2132,0
2133,0
2134,0
2135,1
2136,0
2137,0
2138,1
2139,0
2140,1
2141,0
2142,1
2143,1
2144,0
2145,0
2146,1
2147,0
2148,1
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,1
2156,0
2157,0
2158,0
2159,1
2160,0
2161,1
2162,0
2163,1
2164,0
2165,1
2166,1
2167,0
2168,0
2169,0
2170,0
2171,1
2172,1
2173,1
2174,1
2175,0
2176,0
2177,1
2178,1
2179,0
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,0
2187,1
2188,1
2189,0
2190,1
2191,1
2192,1
2193,0
2194,0
2195,1
2196,0
2197,0
2198,1
2199,0
2200,0
2201,1
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,1
2209,0
2210,1
2211,0
2212,0
2213,1
2214,1
2215,1
2216,0
2217,0
2218,0
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,0
2228,0
2229,1
2230,1
2231,0
2232,0
2233,1
2234,0
2235,0
2236,0
2237,0
2238,0
2239,1
2240,1
2241,0
2242,1
2243,0
2244,0
2245,0
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,0
2253,1
2254,1
2255,1
2256,0
2257,1
2258,0
2259,1
2260,1
2261,0
2262,0
2263,0
2264,1
2265,0
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,0
2273,0
2274,1
2275,0
2276,0
2277,0
2278,1
2279,1
2280,1
2281,0
2282,1
2283,0
2284,1
2285,0
2286,0
2287,0
2288,1
2289,0
2290,0
2291,0
2292,0
2293,0
2294,1
2295,1
2296,1
2297,1
2298,0
2299,0
2300,1
2301,0
2302,0
2303,1
2304,0
2305,1
2306,0
2307,0
2308,1
2309,1
2310,0
2311,1
2312,0
2313,1
2314,0
2315,1
2316,1
2317,1
2318,0
2319,1
2320,1
2321,1
2322,0
2323,0
2324,1
2325,1
2326,1
2327,1
2328,0
2329,0
2330,0
2331,0
2332,1
2333,0
2334,0
2335,1
2336,0
2337,1
2338,1
2339,1
2340,0
2341,0
2342,0
2343,1
2344,0
2345,1
2346,1
2347,0
2348,1
2349,0
2350,0
2351,0
2352,0
2353,0
2354,1
2355,0
2356,1
2357,1
2358,0
2359,1
2360,1
2361,0
2362,1
2363,1
2364,1
2365,1
2366,1
2367,0
2368,1
2369,1
2370,0
2371,1
2372,1
2373,1
2374,1
2375,0
2376,0
2377,0
2378,1
2379,0
2380,1
2381,0
2382,0
2383,1
2384,0
2385,1
2386,1
2387,0
2388,1
2389,1
2390,1
2391,0
2392,0
2393,1
2394,0
2395,1
2396,0
2397,1
2398,1
2399,0
2400,1
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,1
2408,1
2409,0
2410,0
2411,0
2412,1
2413,0
2414,0
2415,1
2416,1
2417,0
2418,0
2419,1
2420,0
2421,1
2422,0
2423,0
2424,0
2425,0
2426,1
2427,0
2428,1
2429,0
2430,0
2431,1
2432,0
2433,1
2434,1
2435,1
2436,0
2437,1
2438,0
2439,1
2440,1
2441,1
2442,0
2443,0
2444,1
2445,1
2446,0
2447,0
2448,1
2449,0
2450,0
2451,0
2452,1
2453,0
2454,0
2455,1
2456,0
2457,0
2458,0
2459,1
2460,1
2461,1
2462,0
2463,1
2464,0
2465,0
2466,1
2467,1
2468,0
2469,1
2470,1
2471,0
2472,0
2473,0
2474,0
2475,0
2476,1
2477,1
2478,1
2479,1
2480,0
2481,1
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,1
2491,1
2492,0
2493,0
2494,1
2495,0
2496,0
2497,1
2498,0
2499,0
2500,0
2501,1
2502,1
2503,0
2504,1
2505,1
2506,1
2507,1
2508,0
2509,1
2510,0
2511,1
2512,1
2513,0
2514,0
2515,1
2516,1
2517,0
2518,1
2519,1
2520,1
2521,1
2522,0
2523,1
2524,1
2525,1
2526,0
2527,0
2528,0
2529,1
2530,0
2531,0
2532,1
2533,0
2534,0
2535,1
2536,1
2537,1
2538,0
2539,1
2540,0
2541,0
2542,0
2543,1
2544,0
2545,1
2546,0
2547,0
2548,0
2549,0
2550,1
2551,1
2552,1
2553,1
2554,0
2555,0
2556,0
2557,0
2558,0
2559,1
2560,1
2561,0
2562,0
2563,1
2564,0
2565,1
2566,0
2567,0
2568,0
2569,1
2570,0
2571,1
2572,1
2573,1
2574,0
2575,0
2576,0
2577,0
2578,1
2579,0
2580,1
2581,1
2582,1
2583,0
2584,0
2585,1
2586,1
2587,1
2588,1
2589,1
2590,1
2591,0
2592,1
2593,1
2594,0
2595,1
2596,0
2597,1
2598,1
2599,0
2600,1
2601,0
2602,1
2603,0
2604,1
2605,1
2606,1
2607,0
2608,0
2609,1
2610,0
2611,0
2612,1
2613,0
2614,0
2615,1
2616,1
2617,1
2618,0
2619,0
2620,0
2621,0
2622,0
2623,0
2624,0
2625,1
2626,1
2627,0
2628,1
2629,0
2630,1
2631,0
2632,0
2633,0
2634,0
2635,0
2636,1
2637,0
2638,0
2639,1
2640,0
2641,1
2642,1
2643,1
2644,0
2645,1
2646,1
2647,0
2648,1
2649,0
2650,1
2651,0
2652,1
2653,1
2654,0
2655,0
2656,1
2657,0
2658,0
2659,1
2660,0
2661,0
2662,1
2663,0
2664,1
2665,1
2666,0
2667,1
2668,1
2669,0
2670,0
2671,1
2672,0
2673,1
2674,1
2675,1
2676,0
2677,1
2678,0
2679,1
2680,0
2681,0
2682,0
2683,1
2684,1
2685,1
2686,0
2687,0
2688,0
2689,1
2690,1
2691,0
2692,1
2693,1
2694,1
2695,0
2696,1
2697,1
2698,1
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,1
2709,1
2710,0
2711,1
2712,1
2713,0
2714,1
2715,1
2716,0
2717,1
2718,0
2719,0
2720,1
2721,1
2722,1
2723,0
2724,1
2725,1
2726,1
2727,1
2728,0
2729,1
2730,0
2731,1
2732,1
2733,0
2734,0
2735,1
2736,0
2737,1
2738,0
2739,1
2740,0
2741,0
2742,1
2743,1
2744,1
2745,1
2746,0
2747,1
2748,1
2749,1
2750,0
2751,1
2752,0
2753,1
2754,1
2755,1
2756,0
2757,1
2758,1
2759,0
2760,1
2761,1
2762,0
2763,0
2764,0
2765,0
2766,1
2767,0
2768,1
2769,0
2770,1
2771,1
2772,1
2773,1
2774,1
2775,1
2776,0
2777,1
2778,0
2779,1
2780,1
2781,1
2782,0
2783,0
2784,1
2785,0
2786,1
2787,0
2788,0
2789,0
2790,0
2791,1
2792,1
2793,0
2794,0
2795,1
2796,0
2797,0
2798,1
2799,0
2800,1
2801,0
2802,0
2803,1
2804,0
2805,1
2806,0
2807,1
2808,0
2809,0
2810,0
2811,1
2812,0
2813,0
2814,0
2815,0
2816,0
2817,0
2818,0
2819,1
2820,0
2821,0
2822,1
2823,0
2824,1
2825,0
2826,0
2827,1
2828,1
2829,0
2830,1
2831,0
2832,0
2833,1
2834,0
2835,0
2836,0
2837,0
2838,1
2839,1
2840,0
2841,1
2842,0
2843,1
2844,0
2845,0
2846,1
2847,1
2848,1
2849,0
2850,0
2851,1
2852,0
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,0
2860,0
2861,0
2862,1
2863,1
2864,0
2865,1
2866,0
2867,0
2868,1
2869,0
2870,0
2871,0
2872,0
2873,0
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,1
2881,0
2882,1
2883,0
2884,1
2885,0
2886,0
2887,0
2888,1
2889,1
2890,1
2891,0
2892,0
2893,0
2894,0
2895,0
2896,0
2897,1
2898,0
2899,0
2900,0
2901,0
2902,1
2903,0
2904,0
2905,0
2906,0
2907,0
2908,1
2909,0
2910,0
2911,1
2912,0
2913,0
2914,1
2915,0
2916,0
2917,1
2918,0
2919,1
2920,1
2921,0
2922,0
2923,0
2924,0
2925,0
2926,1
2927,1
2928,0
2929,1
2930,1
2931,0
2932,1
2933,0
2934,0
2935,1
2936,1
2937,1
2938,0
2939,1
2940,1
2941,0
2942,0
2943,0
2944,0
2945,0
2946,0
2947,0
2948,1
2949,1
2950,0
2951,1
2952,1
2953,1
2954,1
2955,1
2956,1
2957,0
2958,1
2959,1
2960,1
2961,1
2962,1
2963,0
2964,0
2965,1
2966,1
2967,0
2968,1
2969,1
2970,1
2971,0
2972,1
2973,1
2974,1
2975,1
2976,0
2977,1
2978,1
2979,1
2980,0
2981,0
2982,1
2983,1
2984,1
2985,0
2986,0
2987,0
2988,0
2989,0
2990,1
2991,1
2992,1
2993,0
2994,1
2995,0
2996,0
2997,0
